"stratum","value","week","year","date"
"A15..34",19.1465310159672,4,2021,2021-01-31
"A15..34",5.15755263529746,5,2021,2021-02-07
"A15..34",14.1868023173661,6,2021,2021-02-14
"A15..34",11.2053129857284,7,2021,2021-02-21
"A15..34",19.1465310159672,8,2021,2021-02-28
"A15..34",19.1465310159672,9,2021,2021-03-07
"A15..34",26.2116716122651,10,2021,2021-03-14
"A15..34",35.1702698883708,11,2021,2021-03-21
"A15..34",25.1942913663982,12,2021,2021-03-28
"A15..34",33.1920305214074,13,2021,2021-04-04
"A15..34",30.1540200649993,14,2021,2021-04-11
"A15..34",31.1714003108662,15,2021,2021-04-18
"A15..34",45.1462484103434,16,2021,2021-04-25
"A15..34",37.2050303801046,17,2021,2021-05-02
"A15..34",22.1986717535679,18,2021,2021-05-09
"A15..34",22.1986717535679,19,2021,2021-05-16
"A15..34",21.181291507701,20,2021,2021-05-23
"A15..34",14.1868023173661,21,2021,2021-05-30
"A15..34",14.1868023173661,22,2021,2021-06-06
"A15..34",9.17055249399465,23,2021,2021-06-13
"A15..34",10.1879327398615,24,2021,2021-06-20
"A15..34",8.15317224812776,25,2021,2021-06-27
"A15..34",10.1879327398615,26,2021,2021-07-04
"A15..34",15.204182563233,27,2021,2021-07-11
"A15..34",12.1520418256324,28,2021,2021-07-18
"A15..34",17.1824219301964,29,2021,2021-07-25
"A15..34",18.1998021760633,30,2021,2021-08-01
"A15..34",21.181291507701,31,2021,2021-08-08
"A15..34",21.181291507701,32,2021,2021-08-15
